id,section,rank,reason,title
M8,Update from PI / Programme,1,"Programme project output, open access publication on socio-technical audits, unique and on-scope for a PI update.",Uncovering Edtech's Embedded Values: Making the Case for Socio-Technical Audits in Ethnographic Inquiry
M2,"Teacher recruitment, retention & development",1,"Timely annual Teacher Tapp/SchoolDash data showing historic low in secondary vacancies, strong substance.",Secondary teacher job adverts hit a historic low as market ‘contracts’
M16,"Teacher recruitment, retention & development",2,"Authoritative annual DfE School Workforce statistics for England, core data source.",School workforce in England 2025
D5,"Teacher recruitment, retention & development",3,"FFT Datalab analysis of teacher effects on progress versus attendance, unique research, high composite score.","Primary school teachers matter for learning, but may have little impact on attendance"
M1,"Teacher recruitment, retention & development",4,"New headship programme plus data on falling headship aspiration, leadership pipeline angle.","New heads need more than a one-off qualification, say charities"
M6,"Teacher recruitment, retention & development",5,"NFER analysis of changing primary staffing picture, complements secondary data.",A healthy labour market?
M13,EdTech,1,"Major Nuffield Foundation report with new evidence on young people growing up digital, strong substance.","‘I love it, but I hate it’ – Young people’s experiences and expectations of growing up digital"
M5,EdTech,2,"Barnardo's UK-wide campaign polling 4000 young people on online misogyny, broad national spread.",Call it what it is: The impact of online misogyny on children and young people's attitudes and behaviour
M7,EdTech,3,"Cambridge blog questioning AI as a technical fix, adds critical research perspective.",Limitations of technical fixes in AI policy
M11,EdTech,4,"Guardian piece on a school adopting screen-free days, practical and pupil-led angle.","The London school that has screen-free days for pupils, teachers – and parents"
D7,EdTech,5,"New government MIS procurement framework from 2027, relevant edtech policy with data protection angle.",Schools 'expected' to use government route to buy MIS from 2027
M15,Political environment and key organisations,1,"DfE interim evaluation of breakfast club early adopters, timely flagship policy evidence.",Breakfast club early adopters: interim evaluation
M12,Political environment and key organisations,2,"DfE final evaluation of attendance mentors intervention delivered by Barnardo's, substantive.",Attendance mentors intervention: year 2 and 3 evaluation
M14,Political environment and key organisations,3,"DfE preliminary analysis of social media minimum age consultation, current policy debate.",Parental support for a social media minimum age of 16
D4,Political environment and key organisations,4,"New government admissions guidance affecting managed moves, exclusion implications.",Managed moves could be ‘consigned to the history books’
M9,Political environment and key organisations,5,"DfE Experts at Hand policy explainer covering schools, early years and post-16.",Experts at Hand: Everything you need to know 
D1,Four Nations,1,"Scottish Government phone-free schools legislation and guidance, timely and distinct national policy.",Phone-free learning in Scottish schools
M0,Four Nations,2,"Northern Ireland leadership professional learning programme award, good national balance.",Givan announces award of professional learning programme for new and aspiring school principals
D8,Four Nations,3,"Children's Commissioner Big Future work with Birmingham primary children, civic engagement angle.",The Big Future: Speaking to children in Birmingham
M18,Research – Practice – Policy,1,"Argument for a primary-specific Ofsted inspection framework, timely inspection debate.",Ofsted: It is time for a primary-specific inspection framework?
M19,Research – Practice – Policy,2,"Proposal for a radical new inspection model, complements M18 with constructive alternative.",Invitation to inspection: A shared quest for improvement 
D6,Research – Practice – Policy,3,The Difference on embedding inclusion practices with evidence from their leadership course.,"Inclusion is for life, not just the 31st December"
M4,Research – Practice – Policy,4,"Research by Ainsworth on teacher resilience requiring system-level reform, links research to practice.",Teacher resilience ‘depends on system-wide change’
D0,What matters in education?,1,"Parliamentary committees launch children's mental health inquiry and survey, high-profile and timely.",Children and young people's mental health: committees launch survey and announce first ...
D2,What matters in education?,2,"Independent LGA-commissioned analysis of SEND reforms, strong data on outcomes and sustainability.",SEND reforms can improve children’s outcomes but existing system remains ‘vulnerable’ – new independent report
M3,What matters in education?,3,"Fair Education Alliance five recommendations on SEND reforms and equity, complements D2.",Five things the government can do to ensure SEND reforms promote educational equity 
D3,What matters in education?,4,"Schools Week on secondary pupil numbers falling for first time in a decade, key demographic data.",Secondary pupil numbers fall for first time in a decade
M10,What matters in education?,5,"Unesco article on educational cooperation from Nigerian context, broader perspective though weaker scope fit.",When multilateralism fractures: Reimagining educational cooperation from the Nigerian context
